"","country","latitude","longitude","year_start","year_end"
"20","Myanmar",19.75,96.25,1998,2000
"21","Myanmar",22.25,96.75,1998,2000
"22","Myanmar",20.75,96.25,1998,2000
"23","Myanmar",20.25,96.25,1998,2000
"24","Myanmar",19.75,96.25,1998,2000
"25","Myanmar",23.75,94.25,1998,2000
"26","Myanmar",24.25,94.25,1998,2000
"27","Myanmar",22.25,95.25,1998,2000
"28","Myanmar",24.25,95.75,1998,2000
"29","Myanmar",24.25,96.25,1998,2000
"30","Myanmar",24.25,96.25,1998,2000
"31","Myanmar",22.75,95.75,1998,2000
"32","Myanmar",20.25,94.75,1998,2000
"33","Myanmar",20.75,94.25,1998,2000
"34","Myanmar",21.25,94.25,1998,2000
"35","Myanmar",22.25,94.25,1998,2000
"36","Myanmar",20.25,95.75,1998,2000
"37","Myanmar",20.25,95.25,1998,2000
"38","Myanmar",20.25,95.25,1998,2000
"39","Myanmar",20.25,94.75,1998,2000
"40","Myanmar",21.75,95.25,1998,2000
"41","Myanmar",19.25,95.25,1998,2000
"42","Myanmar",19.25,95.25,1998,2000
"43","Myanmar",19.25,95.25,1998,2000
"44","Myanmar",20.25,94.75,1998,2000
"45","Myanmar",20.25,94.75,1998,2000
"46","Myanmar",20.75,94.75,1998,2000
"47","Myanmar",20.25,94.25,1998,2000
"48","Myanmar",20.25,94.25,1998,2000
"49","Myanmar",21.25,92.25,1998,2000
"50","Myanmar",20.75,92.25,1998,2000
"51","Myanmar",20.25,93.25,1998,2000
"52","Myanmar",20.75,97.25,1998,2000
"53","Myanmar",21.25,99.75,1998,2000
"54","Myanmar",20.75,96.25,1998,2000
"55","Myanmar",20.75,97.25,1998,2000
"56","Myanmar",25.25,97.25,1998,2000
"57","Myanmar",24.75,96.25,1998,2000
"58","Myanmar",22.75,93.75,1998,2000
"59","Myanmar",19.25,96.75,1998,2000
"60","Myanmar",16.75,97.75,1998,2000
"61","Myanmar",18.75,96.25,1998,2000
"62","Myanmar",19.25,96.25,1998,2000
"63","Myanmar",18.75,95.25,1998,2000
"64","Myanmar",18.75,95.25,1998,2000
"65","Myanmar",18.75,95.25,1998,2000
"66","Myanmar",14.75,98.25,1996,1998
"67","Myanmar",14.75,98.25,1996,1998
"68","Myanmar",14.75,97.75,1996,1998
"69","Myanmar",14.75,97.75,1996,1998
"70","Myanmar",18.75,96.25,1992,1993
"71","Myanmar",18.75,96.25,1992,1992
"72","Myanmar",18.75,96.25,1993,1993
"73","India",28.75,77.25,1996,1996
"74","Pakistan",32.25,69.75,1989,1989
"75","India",17.25,78.25,1989,1989
"76","India",17.25,78.75,1989,1989
"77","Pakistan",33.75,71.75,1993,1994
"78","Pakistan",31.75,73.75,1997,1997
"79","Pakistan",31.75,73.75,1998,1998
"80","Pakistan",34.25,71.75,1999,1999
"81","Iran",27.25,56.25,2002,2002
"82","India",28.75,77.25,1994,1994
"83","India",28.75,77.25,1995,1995
"84","India",28.75,77.25,1996,1996
"85","India",28.75,77.25,1989,1991
"86","India",28.75,77.25,1989,1991
"87","India",28.75,77.25,1989,1991
"88","India",28.75,77.25,1989,1991
"89","India",28.75,77.25,1989,1991
"90","India",28.75,77.25,1989,1991
"91","India",28.75,77.25,1989,1991
"92","India",28.75,77.25,1989,1991
"93","India",29.25,79.25,1992,1994
"94","Iran",27.25,56.25,2002,2002
"95","Iran",27.25,56.25,2003,2003
"96","Iran",27.75,56.25,2002,2002
"97","Iran",27.75,56.25,2003,2003
"98","Iran",27.25,56.25,2002,2003
"99","Iran",28.25,56.75,2002,2003
"100","India",25.25,81.75,1991,1991
"101","India",25.25,81.75,1992,1992
"102","India",25.25,81.75,1991,1992
"103","India",22.75,88.25,1995,1995
"104","India",22.75,88.25,1996,1996
"105","India",22.75,88.25,1995,1996
"106","India",22.25,72.75,1988,1990
"107","Pakistan",29.75,73.25,1999,2000
"108","Pakistan",29.75,73.25,1999,1999
"109","Pakistan",29.75,73.25,2000,2000
"110","Pakistan",29.75,73.25,1999,2000
"111","Pakistan",29.75,73.25,1999,1999
"112","Pakistan",29.75,73.25,2000,2000
"113","Pakistan",29.75,73.25,1999,2000
"114","Pakistan",29.75,73.25,1999,1999
"115","Pakistan",29.75,73.25,2000,2000
"116","Iran",27.25,56.75,1984,1985
"117","Iran",27.25,56.75,1985,1985
"118","India",28.25,77.25,1986,1986
"119","India",22.75,88.25,1985,1987
"120","Pakistan",29.75,73.25,2000,2000
"121","India",22.75,88.25,1986,1986
"122","India",22.75,88.25,1987,1987
"123","India",10.25,77.75,1994,1994
"124","India",10.25,77.75,1995,1995
"125","India",22.25,72.75,1988,1990
"126","India",21.25,72.75,2001,2001
"127","India",22.75,73.25,1999,2000
"128","India",29.25,77.25,1999,2000
"129","India",22.75,88.25,1990,1990
"130","India",22.75,88.25,1991,1991
"131","India",22.75,88.25,1986,1986
"132","India",28.75,77.25,1996,1996
"133","India",26.75,75.75,1986,1987
"134","India",26.75,75.75,1987,1987
"135","Pakistan",33.75,71.75,1994,1994
"136","India",15.75,73.75,1998,1999
"137","India",28.75,77.25,1985,1985
"138","India",28.75,77.25,1986,1986
"139","India",28.75,77.25,1984,1986
"140","India",28.75,77.25,1985,1985
"141","India",28.75,77.25,1986,1986
"142","India",28.75,77.25,1984,1986
"143","India",28.75,77.25,1985,1985
"144","India",28.75,77.25,1986,1986
"145","Iran",27.25,60.75,2002,2002
"146","Iran",25.25,60.75,2002,2002
"147","Iran",26.25,60.25,2002,2002
"148","Iran",28.25,61.25,2002,2002
"149","Iran",29.75,51.75,2002,2002
"150","Iran",27.25,56.25,2002,2002
"151","India",22.75,72.75,1993,1994
"152","India",15.25,73.75,1990,1990
"153","India",15.25,73.75,1991,1992
"154","India",15.25,73.75,1993,1993
"155","India",12.25,76.75,1992,1993
"156","India",22.75,88.25,1985,1985
"157","India",22.75,88.25,1986,1986
"158","India",22.75,88.25,1985,1986
"159","India",22.75,88.25,1985,1985
"160","India",22.75,88.25,1986,1988
"161","India",30.75,74.75,1995,1995
"162","India",30.25,76.25,1995,1995
"163","India",30.75,76.75,1995,1995
"164","India",25.25,71.25,1994,1994
"165","Pakistan",34.25,71.75,1992,1992
"166","Iran",27.25,57.25,1985,1985
"167","Iran",27.25,57.25,1986,1986
"168","India",22.75,79.75,1995,1995
"169","India",22.75,88.25,1995,1996
"170","India",22.75,88.25,1995,1996
"171","India",22.75,88.25,1995,1996
"172","India",28.75,77.25,1993,1993
"173","Afghanistan",34.25,70.25,1998,1998
"174","India",23.75,77.75,1987,1988
"175","India",21.25,73.25,1993,1993
"176","India",15.75,73.75,1991,1992
"177","Pakistan",31.25,73.25,2001,2002
"178","India",28.25,77.25,2002,2002
"179","India",28.25,77.25,2002,2002
"180","India",28.25,77.25,2002,2002
"181","Iraq",33.25,44.25,1985,1985
"182","Pakistan",29.75,73.25,1999,2000
"183","Pakistan",29.75,73.25,1999,2000
"184","Pakistan",33.75,71.75,2005,2005
"185","Thailand",14.25,100.75,2006,2006
"186","United Arab Emirates",25.25,55.25,1986,1986
"187","Iran",29.75,51.75,2000,2000
"188","India",28.75,77.25,1991,1991
"189","India",13.25,80.25,2003,2003
"190","Myanmar",17.75,95.25,1998,1998
"191","Myanmar",17.75,95.25,1999,1999
"192","Myanmar",22.25,96.25,1998,2000
"193","Myanmar",21.75,96.25,1998,1998
"194","Myanmar",21.75,96.25,1999,1999
"195","Myanmar",20.25,96.25,1998,2000
"196","Myanmar",19.75,96.25,1998,2000
"197","Myanmar",22.25,95.25,1998,1998
"198","Myanmar",22.25,95.25,1999,1999
"199","Myanmar",23.75,95.75,1998,2000
"200","Myanmar",20.25,94.75,1998,2000
"201","Myanmar",20.75,94.75,1998,2000
"202","Myanmar",20.25,94.75,1998,1998
"203","Myanmar",20.25,94.75,1999,1999
"204","Myanmar",19.25,95.25,1998,2000
"205","Myanmar",20.75,97.75,1998,2000
"206","Myanmar",18.75,95.25,1998,1998
"207","Myanmar",18.75,95.25,1999,1999
"208","India",25.25,81.75,1999,2001
"209","India",22.75,88.25,2003,2003
"210","India",22.75,88.25,2003,2004
"211","India",22.75,88.25,2004,2004
"212","India",22.75,88.25,2004,2005
"213","India",22.75,88.25,2005,2005
"214","India",22.75,88.25,2005,2006
"215","India",27.75,71.75,1993,1995
"216","India",27.75,71.75,1993,1993
"217","India",27.75,71.75,1994,1994
"218","India",27.25,72.25,1993,1995
"219","India",27.25,72.25,1993,1993
"220","India",27.25,72.25,1994,1994
"221","India",10.75,72.75,2000,2000
"222","India",10.75,72.25,2000,2000
"223","India",28.75,77.25,1985,1985
"224","India",28.75,77.25,1985,1985
"225","India",28.75,77.25,1985,1985
"226","India",28.75,77.25,1985,1985
"227","India",28.25,77.25,1985,1985
"228","India",28.75,77.25,1985,1985
"229","India",28.75,77.25,1985,1985
"230","India",28.75,77.25,1985,1985
"231","India",28.75,77.75,1993,1993
"232","India",22.75,80.25,1987,1987
"233","India",22.75,72.75,1985,1985
"234","India",12.75,74.75,2006,2006
"235","Iran",26.75,60.75,1995,1995
"236","Thailand",16.75,98.75,2011,2013
"237","Thailand",17.75,97.75,2011,2013
"238","China",24.75,97.75,2012,2013
"239","China",24.75,97.75,2012,2013
"240","Myanmar",24.75,97.75,2012,2014
"241","Myanmar",24.75,97.75,2012,2014
"242","Myanmar",24.75,97.75,2012,2014
"243","Saudi Arabia",18.25,42.25,2005,2006
"244","Saudi Arabia",26.25,50.25,2005,2006
"245","Saudi Arabia",24.25,39.75,2005,2006
"246","Saudi Arabia",26.25,43.75,2005,2006
"247","Saudi Arabia",24.75,44.25,2005,2006
"248","Saudi Arabia",16.75,42.75,2005,2006
"249","Saudi Arabia",21.75,39.25,2005,2006
"250","Saudi Arabia",21.25,39.75,2005,2006
"251","Saudi Arabia",17.25,44.25,2005,2006
"252","Saudi Arabia",24.75,46.75,2005,2006
"253","Saudi Arabia",28.25,36.75,2005,2006
"254","Saudi Arabia",21.25,40.25,2005,2006
"255","Saudi Arabia",20.25,45.75,2005,2006
"256","Saudi Arabia",23.25,39.25,2004,2006
"257","Saudi Arabia",24.25,39.25,2004,2006
"258","Saudi Arabia",24.25,39.25,2004,2006
"259","Pakistan",34.25,71.75,2007,2007
"260","Pakistan",34.25,71.75,2007,2007
"261","Pakistan",31.75,74.25,2012,2012
"262","Pakistan",31.75,73.75,2012,2012
"263","Pakistan",31.25,72.75,2012,2012
"264","Pakistan",31.75,73.75,2007,2007
"265","Pakistan",34.25,71.75,2010,2010
"266","Pakistan",30.75,74.25,2012,2012
"267","Pakistan",31.75,74.25,2012,2012
"268","Pakistan",30.75,73.25,2012,2012
"269","Pakistan",34.25,71.75,2010,2010
"270","Pakistan",31.25,74.25,2012,2012
"271","Pakistan",34.25,71.75,2010,2010
"272","Pakistan",31.75,73.75,2012,2012
"273","Pakistan",31.25,74.25,2012,2012
"274","Pakistan",30.75,74.25,2012,2012
"275","Pakistan",30.25,71.25,2007,2007
"276","Pakistan",31.25,74.25,2012,2012
"277","Pakistan",34.25,71.25,2010,2010
"278","Pakistan",31.25,74.25,2012,2012
"279","Pakistan",32.25,74.25,2012,2012
"280","Pakistan",31.25,74.25,2012,2012
"281","Pakistan",30.75,72.75,2012,2012
"282","Pakistan",31.75,73.75,2012,2012
"283","Pakistan",31.25,72.75,2013,2013
"284","Pakistan",30.75,73.75,2010,2010
"285","Pakistan",33.75,73.25,2012,2013
"286","Pakistan",33.75,73.25,2012,2013
"287","Pakistan",33.75,73.25,2012,2013
"288","Pakistan",33.75,73.25,2012,2013
"289","Pakistan",33.75,73.25,2012,2013
"290","Pakistan",33.75,73.25,2012,2013
"291","Pakistan",31.25,70.75,2011,2011
"292","Pakistan",30.75,71.25,2011,2011
"293","Pakistan",30.75,70.75,2011,2011
"294","Pakistan",30.25,70.75,2011,2011
"295","Pakistan",29.25,70.75,2011,2011
"296","Pakistan",30.25,71.25,2011,2011
"297","Pakistan",29.75,70.75,2011,2011
"298","Pakistan",31.25,70.75,2011,2011
"299","Pakistan",29.75,70.75,2011,2011
"300","Pakistan",28.75,70.25,2011,2011
"301","Pakistan",29.25,70.25,2011,2011
"302","Pakistan",29.25,70.25,2011,2011
"303","Pakistan",32.25,74.75,2013,2013
"304","Pakistan",32.25,75.25,2013,2013
"305","Iran",25.75,55.25,2005,2007
"306","Iran",27.25,56.25,2008,2008
"307","Iran",27.25,56.25,2010,2010
"308","Iran",27.25,56.25,2010,2010
"309","Iran",27.25,57.25,2010,2010
"310","Iran",26.25,57.75,2010,2010
"311","Iran",26.75,58.25,2010,2010
"312","Iran",27.25,60.75,2010,2010
"313","Iran",27.25,60.75,2010,2010
"314","Iran",27.25,60.25,2010,2010
"315","Iran",26.75,61.25,2010,2010
"316","Iran",30.75,49.25,2012,2012
"317","Iran",30.75,49.25,2012,2012
"318","Iran",30.75,49.25,2012,2012
"319","Iran",30.75,49.25,2012,2012
"320","Iran",26.25,57.75,2009,2010
"321","Iran",26.25,58.25,2009,2010
"322","Iran",26.75,57.75,2009,2010
"323","Iran",26.25,57.75,2009,2010
"324","Iran",26.25,57.75,2009,2010
"325","Iran",26.25,57.75,2010,2010
"326","Iran",25.75,55.25,2009,2010
"327","Iran",26.25,55.25,2009,2010
"328","Iran",26.25,55.25,2009,2010
